gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2842954866	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/147787247	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR	Costa Rica - Cerro de la Muerte		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.553312	-83.756498	25.0						2018-01-18T00:00:00	18	1	2018	2492037	2492037	HUMAN_OBSERVATION		Observations	OBS.147787247				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:06.288Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2842728415	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/183365051	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR	Costa Rica - Cerro de la Muerte		PRESENT	3	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.554682	-83.755249	25.0						2019-12-19T00:00:00	19	12	2019	2492037	2492037	HUMAN_OBSERVATION		Observations	OBS.183365051				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:05:55.243Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2842701178	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/185637800	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR	Costa Rica - Cerro de la Muerte		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.55382	-83.757149	25.0						2020-02-19T00:00:00	19	2	2020	2492037	2492037	HUMAN_OBSERVATION		Observations	OBS.185637800				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:04.442Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2842275234	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/134569033	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR	Costa Rica - Cerro de la Muerte		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.554907	-83.762133	25.0						2017-02-13T00:00:00	13	2	2017	2492037	2492037	HUMAN_OBSERVATION		Observations	OBS.134569033				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:05:42.262Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2842066488	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/174200211	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR	Costa Rica - Cerro de la Muerte		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.553464	-83.756432	25.0						2019-06-10T00:00:00	10	6	2019	2492037	2492037	HUMAN_OBSERVATION		Observations	OBS.174200211				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:40.783Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2841929875	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/177167632	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR	Costa Rica - Cerro de la Muerte		PRESENT	4	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.557424	-83.753693	25.0						2019-07-22T00:00:00	22	7	2019	2492037	2492037	HUMAN_OBSERVATION		Observations	OBS.177167632				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:36.961Z	StillImage	COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2841861654	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/174200212	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR	Costa Rica - Cerro de la Muerte		PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.559458	-83.754646	25.0						2019-06-10T00:00:00	10	6	2019	2492037	2492037	HUMAN_OBSERVATION		Observations	OBS.174200212				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:42.874Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2841786134	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/169877615	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR	Costa Rica - Cerro de la Muerte		PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.568161	-83.754509	25.0						2019-03-29T00:00:00	29	3	2019	2492037	2492037	HUMAN_OBSERVATION		Observations	OBS.169877615				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:09.631Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2841687140	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/166375236	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR	Costa Rica - Cerro de la Muerte		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.553467	-83.756508	25.0						2018-12-20T00:00:00	20	12	2018	2492037	2492037	HUMAN_OBSERVATION		Observations	OBS.166375236				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:13.566Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2841635346	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/174200208	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR	Costa Rica - Cerro de la Muerte		PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.554976	-83.756516	25.0						2019-06-10T00:00:00	10	6	2019	2492037	2492037	HUMAN_OBSERVATION		Observations	OBS.174200208				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:26.500Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2841592070	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/120311648	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR	Costa Rica - Volcán Irazú NP		PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.978248	-83.84472	25.0						2016-06-22T00:00:00	22	6	2016	2492037	2492037	HUMAN_OBSERVATION		Observations	OBS.120311648				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:05:54.549Z	StillImage	COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2841397094	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/167604548	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR	Costa Rica - Cerro de la Muerte		PRESENT	10	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.55507	-83.75528	25.0						2019-02-14T00:00:00	14	2	2019	2492037	2492037	HUMAN_OBSERVATION		Observations	OBS.167604548				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:10.096Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2841233295	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/114532662	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR	Costa Rica - Cerro de la Muerte		PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.5545	-83.7552	5.0						2016-02-08T00:00:00	8	2	2016	2492037	2492037	HUMAN_OBSERVATION		Observations	OBS.114532662				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:05:56.700Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2841218195	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/113296274	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR	Costa Rica - Cerro de la Muerte		PRESENT	3	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.553091	-83.757679	25.0						2015-12-20T00:00:00	20	12	2015	2492037	2492037	HUMAN_OBSERVATION		Observations	OBS.113296274				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:05:54.654Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2841028713	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/161448452	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR	Costa Rica - Cerro de la Muerte		PRESENT	3	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.55365	-83.756087	25.0						2018-08-10T00:00:00	10	8	2018	2492037	2492037	HUMAN_OBSERVATION		Observations	OBS.161448452				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:05:40.338Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2840987964	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/163489365	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Junco	Junco vulcani		SPECIES	Junco vulcani (Boucard, 1878)	Junco vulcani		CR	Costa Rica - Cerro de la Muerte		PRESENT	4	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.567976	-83.754487	5.0						2018-10-12T00:00:00	12	10	2018	2492037	2492037	HUMAN_OBSERVATION		Observations	OBS.163489365				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:18.861Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
